Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100 nF","C0603",184.521100,-72.153600,0.000000,top
"C2","1 uF","C0603",181.451100,-72.643600,270.000000,top
"C3","33ÂµF","SMC_C",180.701100,-97.603600,270.000000,top
"C4","1 uF","C0603",186.901100,-92.753600,180.000000,top
"C5","12pF","C0603",178.891100,-72.503600,0.000000,top
"C6","100pF","C0603",179.051100,-79.753600,0.000000,top
"C7","1uF","C_0603_1608Metric",181.102000,-44.704000,0.000000,top
"CR1","100 nF","C0603",163.501100,-49.653600,180.000000,top
"KAL1","3ESL-XXX","3E",172.101100,-86.403600,90.000000,top
"LDO1","XC6221B331MR","SOT23-5L",185.501100,-95.313600,270.000000,top
"N1","Housing","PCB_CENTER",172.339000,-88.165000,0.000000,top
"ONOFF1","3ESL-XXX","3E",160.091100,-86.383600,270.000000,top
"Q1","BC858C","SOT23",161.036000,-45.974000,270.000000,top
"Q3","BC858C","SOT23",163.981100,-95.863600,270.000000,top
"Q4","32kHz","85SMX",176.851100,-76.093600,180.000000,top
"R1","2k","R_0603_1608Metric",181.102000,-50.038000,0.000000,top
"R2","51R","M0805",182.631100,-90.603600,0.000000,top
"R3","51R","M0805",157.734000,-46.990000,90.000000,top
"R4","NC","R_0603_1608Metric",168.656000,-72.898000,180.000000,top
"R5","51R","M0805",159.871100,-94.903600,0.000000,top
"R6","1M","M0805",190.911100,-82.253600,0.000000,top
"R7","1M","M0805",190.651100,-79.133600,270.000000,top
"R8","51R","M0805",186.811100,-90.653600,180.000000,top
"R9","2.7k","R_0603_1608Metric",163.576000,-72.600000,180.000000,top
"R10","3.9k","R_0603_1608Metric",162.052000,-74.168000,180.000000,top
"RADIO1","ERA900TS","ERAX00TS",173.401100,-62.003600,180.000000,top
"U$1","","DIM_SENSOR",148.501100,-105.003600,0.000000,top
"U$3","","FIDUCIAL_PAGE",185.101100,-103.103600,0.000000,top
"U$4","","FIDUCIAL_PAGE",164.201100,-44.403600,0.000000,top
"U$5","","FIDUCIAL_PAGE",191.701100,-44.603600,0.000000,top
"U$7","CY8C27243","SSOP20",185.691100,-77.413600,0.000000,top
"U1","MCP73832-2-OT","SOT-23-5",181.356000,-47.498000,180.000000,top
